CONTEXT BUSH clue
HANGER VEGETABLE coat
DRUG FILTHY cocaine
ETHICS SYMPHONY code
SUGAR CAMEL coffee
CAN PEST coke
DARK SKY cold
NECK CURTAINS collar
APPLICATION ORDERLY college
FRAGRANCE UNCOMMON cologne
BROWN HANGER color
ARRIVE EXPERT come
CASUAL PRAISE comfortable
INSULT SCENT comment
DEMOCRACY RESPECT communism
DICTATOR ENERGETIC communist
DENSE CRITERION compact
PUBLISHER AMATEUR company
ENTER HER computer
PERSUADE CASUAL con
ATTITUDE REMEDY conceited
STADIUM STABLE concert
CEMENT TWISTER concrete
LUBRICATE ENGAGE condom
PRESS INSECT conference
TESTIFY NIGHTGOWN confess
MASS REMIND confusion
COMMITTEE FRAGRANCE congress
REPUBLICAN TRACE conservative
CRANE THIRSTY construction
NATION PREDATOR continent
PEST MEXICO control
GOURMET NUMBERS cook
AWESOME PRECIPICE cool
BADGE WARNING cop
PRINTER RACCOON copy
CAPE MEASURE coral
FIELD GOURMET corn
SOFT CHECKERS cotton
COMFORTABLE POSSESS couch
THROAT DRIVE cough
MAP VEGETABLES country
OBJECTIVE SOLO course
ACCUSE VAMPIRE court
TOP COLD cover
HAYSTACK SHRIMP cow
RIDER MEDICINE cowboy
SEAFOOD ATOMIC crab
WALNUT ANNOY crack
NUT TOMORROW cracker
CRUNCH ECSTASY crackle
CERAMICS FELT crafts
PLANE HEEL crash
CHALK MEET crayon
SILLY VICTOR crazy
IMAGINE ALIVE create
GOD FIREPLACE creator
FRAUD REVENGE crime
HANDCUFFS SLIVER criminal
BENT APPEAL crooked
FARMER WITHOUT crops
RIOT FINGERS crowd
LEAVES LAWN crunchy
SPANK ATTACH cry
CRADLE CRYSTAL cuddle
CONE STRAIN cup
DISEASE ENTER cure
BLINDS DILEMMA curtains
MOWER DINER cut
KITTEN ELEPHANT cute
SON NOT dad
DIGGER DUE dagger
ROUTINE AX daily
FLOOD HOURS dam
MUSIC CORD dance
ACROBAT KETTLE dancer
MOTORCYCLE STAND danger
CRITICAL SAILING dangerous
BOLD SPIN daring
WOODS SEE dark
ANALYSIS GROVE data
COUPLE INCOME date
MONTH IRRITATE day
TIMES STATISTICS days
HEALTHY MINERAL dead
DUMB NERVES deaf
COFFIN DEPARTMENT death
DECOMPOSE FAIRYTALE decay
DECISION COFFIN decide
DILEMMA PERIOD decision
BREATH TIRED deep
MOOSE TRADITION deer
LOSE SLUG defeat
TACKLE PLUTO defense
TERM DRUG definition
SECRET BELT deodorant
RESPONSIBLE VICTIM dependable
ADDICT GULL dependent
DOWN UNIVERSITY descend
CARAVAN FOND desert
SHELF EVICT desk
CONSTRUCT DANDELION destroy
DAMAGE COMPLETE destruction
HELL ALMANAC devil
COAL CHALK diamond
PERSONAL ROOF diary
ANISETTE FACTOR dictionary
GRAVE VEAL die
AWKWARD DART different
PICKLE WOOD dill
PENNY SPOTS dime
CAFE JOIN dinner
CREATURE POOR dinosaur
POINT WEDDING direct
CLOCKWISE SCIENTIST direction
INSTRUCT HUNG directions
FILL DULL dirt
LICE SUDS dirty
ARGUE COMPOSE disagree
ARGUMENT SEAM disagreement
PERISH MATURE disappear
COMPUTER CARELESS disc
TREATMENT REMOVER disease
CRUDE MONARCH disgusting
RINSE LIFE dish
SCRUB NATURE dishes
GROVE ATTACK ditch
SWAN DIME dive
QUOTIENT RESPONSIBILITY divide
LET DOORWAY do
PHYSICAL SOAK doctor
STAG NAIL doe
PLUTO ROACH dog
TOY BUTTON doll
POUND QUESTION dollar
FUND ROOSTER dollars
FIN SHEET dolphin
ENOUGH LEG done
ZEBRA CHEF donkey
DISTURB MULTIPLY don't
HATCH DUSTPAN door
SPOTS ORIENT dots
DOUGH ILL doughnut
TUMBLE COMPETENCE down
PLUMBER WILL drain
ARTIST FEVER draw
POSSIBLE TECHNOLOGY dream
WEAR ATHLETE dress
ALCOHOL PERISH drink
FAUCET SWATTER drip
VAN HORNET drive
TRUCK SAFE driver
LICENSE DOUGH driving
SPILL BELLY drop
ACID NOSE drug
HEROIN RETAIN drugs
STONED CONDITION drunk
THIRSTY ESTIMATE dry
MONGOOSE FUNGUS duck
TARNISH REMEMBER dull
IDIOT COURAGEOUS dumb
EVENING PROVE dusk
CLEANING MISSILE dust
RESPONSIBILITY EMPTY duty
EYE GRACEFUL ear
MORNING CORE early
MATTER BLOT earth
EVACUATE WELL earthquake
DIRECTION STEWARDESS east
TRANQUIL HEALTHY easy
BANQUET THERMOMETER eat
PROTEIN CONTENT egg
ROW MEND eggs
CAMEL GALLOP egypt
SECTION TREATMENT eight
