"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","where1","where2","cue","target"
"m.celery","v.celery",0.83970157680888,0.554873318161671,0,"0.88286259","NULL","NULL","NULL","NULL","m","v","celery","celery"
"m.chair","v.chair",0.744624199683304,0.358788764598254,0,"0.656179606","NULL","NULL","NULL","NULL","m","v","chair","chair"
"m.cherry","v.cherry",0.911935507146441,0.733462692007333,0,"0.927309586","NULL","NULL","NULL","NULL","m","v","cherry","cherry"
"m.chisel","v.chisel",0.767547684130416,0.706084735087769,0,"0.883773842","NULL","NULL","NULL","NULL","m","v","chisel","chisel"
"m.coat","v.coat",0.703809760956313,0.283552842747476,0.150708107791379,"0.717940207","NULL","NULL","NULL","NULL","m","v","coat","coat"
"m.comb","v.comb",0.798589164849525,0.777595758829634,0,"0.892694217","NULL","NULL","NULL","NULL","m","v","comb","comb"
"m.corn","v.corn",0.799698127037524,0.399596034080457,0,"0.813723941","NULL","NULL","NULL","NULL","m","v","corn","corn"
"m.couch","v.couch",0.71151804221715,0.204937238928954,0,"0.713668761","NULL","NULL","NULL","NULL","m","v","couch","couch"
"m.cow","v.cow",0.696380339113494,0.567911580431653,0,"0.794489764","NULL","NULL","NULL","NULL","m","v","cow","cow"
"m.crowbar","v.crowbar",0.492701936921995,0.495804078763844,0,"0.744448616","NULL","NULL","NULL","NULL","m","v","crowbar","crowbar"
"m.cucumber","v.cucumber",0.791873654076822,0.508965577434511,0,"0.838547512","NULL","NULL","NULL","NULL","m","v","cucumber","cucumber"
"m.dagger","v.dagger",0.750245105378107,0.634868423675176,0,"0.824906705","NULL","NULL","NULL","NULL","m","v","dagger","dagger"
"m.dog","v.dog",0.772910261150535,0.639905657012217,0,"0.874250965","NULL","NULL","NULL","NULL","m","v","dog","dog"
"m.donkey","v.donkey",0.783976875997183,0.653078666072653,0,"0.821841315","NULL","NULL","NULL","NULL","m","v","donkey","donkey"
"m.door","v.door",0.677866337853642,0.294509889509202,0.323914402538739,"0.776909784","NULL","NULL","NULL","NULL","m","v","door","door"
"m.doorknob","v.doorknob",0.34837651405458,0.069675302810916,0,"0.645672551","NULL","NULL","NULL","NULL","m","v","doorknob","doorknob"
"m.dress","v.dress",0.760633603534422,0.609536785512102,0.637331307346506,"0.755588849","NULL","NULL","NULL","NULL","m","v","dress","dress"
"m.drill","v.drill",0.604040550889342,0.200457542149409,0,"0.720152567","NULL","NULL","NULL","NULL","m","v","drill","drill"
"m.duck","v.duck",0.716157893960034,0.148988280006628,0,"0.703809376","NULL","NULL","NULL","NULL","m","v","duck","duck"
"m.eggplant","v.eggplant",0.804615833169639,0.615601969909867,0,"0.868101178","NULL","NULL","NULL","NULL","m","v","eggplant","eggplant"
"m.elephant","v.elephant",0.646097741181298,0.487990324619141,0,"0.760517918","NULL","NULL","NULL","NULL","m","v","elephant","elephant"
"m.fence","v.fence",0.588605607300198,0.449136808775139,0,"0.787410975","NULL","NULL","NULL","NULL","m","v","fence","fence"
"m.fork","v.fork",0.797929862493852,0.273020446477331,0.197974644463868,"0.72135962","NULL","NULL","NULL","NULL","m","v","fork","fork"
"m.fox","v.fox",0.721524609349234,0.692272979744285,0,"0.805065546","NULL","NULL","NULL","NULL","m","v","fox","fox"
"m.gate","v.gate",0.652440638501289,0.292661870574241,0,"0.835266416","NULL","NULL","NULL","NULL","m","v","gate","gate"
"m.giraffe","v.giraffe",0.917152076621194,0.760331922505776,0.624301691800804,"0.937888126","NULL","NULL","NULL","NULL","m","v","giraffe","giraffe"
"m.goat","v.goat",0.630037497463688,0.552061922114405,0,"0.783375518","NULL","NULL","NULL","NULL","m","v","goat","goat"
"m.grape","v.grape",0.67807435452346,0.561727149807934,0,"0.837067176","NULL","NULL","NULL","NULL","m","v","grape","grape"
"m.grapefruit","v.grapefruit",0.742987750411185,0.652844352550909,0,"0.835406392","NULL","NULL","NULL","NULL","m","v","grapefruit","grapefruit"
"m.gun","v.gun",0.662735515882277,0.176729470904395,0,"0.817922385","NULL","NULL","NULL","NULL","m","v","gun","gun"
"m.hammer","v.hammer",0.784792299971631,0.43582947944934,0.380796234232356,"0.84094994","NULL","NULL","NULL","NULL","m","v","hammer","hammer"
"m.hatchet","v.hatchet",0.816046323926662,0.571478223815865,0,"0.820150704","NULL","NULL","NULL","NULL","m","v","hatchet","hatchet"
"m.helicopter","v.helicopter",0.655828158431292,0,0,"0.695088123","NULL","NULL","NULL","NULL","m","v","helicopter","helicopter"
"m.hoe","v.hoe",0.581058746296897,0.350364462501039,0,"0.69476894","NULL","NULL","NULL","NULL","m","v","hoe","hoe"
"m.horse","v.horse",0.830985572583199,0.562618202038592,0.544973985937107,"0.799106207","NULL","NULL","NULL","NULL","m","v","horse","horse"
"m.knife","v.knife",0.823493500358759,0.506716690266252,0.389847316869258,"0.774317176","NULL","NULL","NULL","NULL","m","v","knife","knife"
"m.lemon","v.lemon",0.803169397462751,0.698661619944166,0,"0.896651226","NULL","NULL","NULL","NULL","m","v","lemon","lemon"
"m.leopard","v.leopard",0.842327988344973,0.46977835236378,0,"0.899504132","NULL","NULL","NULL","NULL","m","v","leopard","leopard"
"m.lettuce","v.lettuce",0.82875495499056,0.391614848019533,0,"0.79046951","NULL","NULL","NULL","NULL","m","v","lettuce","lettuce"
"m.lime","v.lime",0.865805696565904,0.722413443286974,0,"0.932902848","NULL","NULL","NULL","NULL","m","v","lime","lime"
"m.lion","v.lion",0.603159000051958,0.531127080277259,0,"0.731179981","NULL","NULL","NULL","NULL","m","v","lion","lion"
"m.motorcycle","v.motorcycle",0.466959671367714,0.151125130003932,0,"0.749010655","NULL","NULL","NULL","NULL","m","v","motorcycle","motorcycle"
"m.mouse","v.mouse",0.733087905551787,0.678026281209547,0,"0.804305548","NULL","NULL","NULL","NULL","m","v","mouse","mouse"
"m.mushroom","v.mushroom",0.704841282952873,0.419201903006988,0,"0.80283482","NULL","NULL","NULL","NULL","m","v","mushroom","mushroom"
"m.orange","v.orange",0.818288716041603,0.632859708885021,0,"0.909144358","NULL","NULL","NULL","NULL","m","v","orange","orange"
"m.pants","v.pants",0.694612893734215,0.152298093813554,0.261028381578239,"0.628897397","NULL","NULL","NULL","NULL","m","v","pants","pants"
"m.peach","v.peach",0.765916893834162,0.447188575515294,0,"0.881287101","NULL","NULL","NULL","NULL","m","v","peach","peach"
"m.pear","v.pear",0.919467235831121,0.570220007838385,0,"0.935682159","NULL","NULL","NULL","NULL","m","v","pear","pear"
"m.pen","v.pen",0.7058297831726,0.44928139224271,0,"0.846427124","NULL","NULL","NULL","NULL","m","v","pen","pen"
"m.pencil","v.pencil",0.779516718788115,0.5004572394138,0.518379669059617,"0.880386095","NULL","NULL","NULL","NULL","m","v","pencil","pencil"
"m.pepper","v.pepper",0.720383931517393,0.614386134892821,0,"0.847646324","NULL","NULL","NULL","NULL","m","v","pepper","pepper"
"m.pig","v.pig",0.672527366204922,0.460996514805113,0.333879899676518,"0.806076056","NULL","NULL","NULL","NULL","m","v","pig","pig"
"m.pineapple","v.pineapple",0.817542801939457,0.693649033235924,0,"0.908771401","NULL","NULL","NULL","NULL","m","v","pineapple","pineapple"
"m.pliers","v.pliers",0.780315112019765,0.630296025396838,0.288434872280201,"0.896762836","NULL","NULL","NULL","NULL","m","v","pliers","pliers"
"m.plum","v.plum",0.809362217327856,0.684061239950525,0,"0.901418573","NULL","NULL","NULL","NULL","m","v","plum","plum"
"m.potato","v.potato",0.632000353555962,0.274839202553553,0,"0.652063724","NULL","NULL","NULL","NULL","m","v","potato","potato"
