"Prime","TargetWord","index","PLength","PSubFreq","PLogSubFreq","PLogHAL","POrthoN","PFreqGreater","PBGSum","PBGMean","PPOS","PELP.NT.RT","PELP.NT.Z","PELP.NT.Acc","Relation1","Relation2","FAS","BAS","CueFanOut","LSA","NT.200ms.RT","NT.200ms.Z","NT.200ms.Acc","NT.1200ms.RT","NT.1200ms.Z","NT.1200ms.Acc","NT.200ms.RT.Priming","NT.200ms.Z.Priming","NT.200ms.Acc.Priming","NT.1200ms.RT.Priming","NT.1200ms.Z.Priming","NT.1200ms.Acc.Priming","TLength","TSubFreq","TLogSubFreq","TLogHAL","TOrthoN","TFreqGreater","TBGSum","TBGMean","TPOS","TELP_LDT_RT","TELP_LDT_Z","TELP_LDT_Acc","TargetFanIn","first","second","root","raw","affix","old","jcn.x","lsa.x","fsg.x","bsg.x","word_1","word_2","distance","CUE","TARGET","FSG","BSG","MSG","OSG","QSS","QFR","QCON","QPS","TSS","TFR","TCON","TPS","cue","target","fsg.y","bsg.y","msg","qcon","tcon","qfr","tfr","jcn.y","lsa.y","X.x","TCosine_Set","Traw_feat_set","Troot_feat_set","X.y","PCosine_Set","Praw_feat_set","Proot_feat_set"
"shatter","break","shatter.break",7,1.41,1.86,7.78,5,0,17850,2975,"VB",622.7,-0.41,1,"synonym","",0.419,0.044,4,0.23,528.590909090909,-0.0767241127963305,1,490.4,-0.247322418188016,1,43.5798226164079,0.0164254113892077,0,-1.0774193548387,0.0308209030702744,0,5,221.08,4.05,10.77,5,0,7263,1815.75,"VB|NN",604.15,-0.66,1,80,"shatter","break",0.247821197968501,0.0852297195738791,0,"NULL","2.598854","0.186944","0.419","0.044","break","shatter",0.588915,"shatter","break",0.419,"4.3999999999999997E-2","3.6499999999999998E-2","4.1599999999999998E-2",4,2,"4.63","V","26","88","3.52","V","shatter","break",0.419,0.044,0.0365,"4.63","3.52",2,88,2.598854,0.186944,484,235,26,26,3469,20,9,6
"shears","scissors","shears.scissors",6,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"synonym","",0.561,0,8,0.19,575.9,0.352460618201921,1,523.666666666667,0.0433195306271635,1,-11.2846153846153,-0.284809591308139,0,8.90476190476193,0.0206388115505353,0,8,6.69,2.53,7.22,0,NA,11198,1599.71,"NN",697.94,-0.39,1,7,"shears","scissors",0.463659687147299,0.252942528378658,0,"NULL","0.530628","0.149587","0.561","0","scissors","shears",0.474241,"shears","scissors",0.561,"0","1.0999999999999999E-2","0.13100000000000001",8,0,"NULL","N","4","1","5.92","N","shears","scissors",0.561,0,0.011,"NULL","5.92",0,1,0.530628,0.149587,3395,97,40,28,3474,15,8,5
"sheep","wool","sheep.wool",5,13.43,2.84,8.93,7,2,4588,1147,"NN",625.21,-0.48,1,"perceptual property","",0.291,0.217,17,0.63,527.545454545455,0.0896553598435226,0.939393939393939,543.56,0.163292435417519,0.96,9.75757575757575,-0.00219178225795978,-0.0303030303030303,-3.24421052631578,-0.139127534165995,-0.04,4,3.16,2.21,7.63,6,5,2562,854,"NN",657.94,-0.49,0.97,15,"wool","sheep",0.151584699181382,0.090813622391042,0,"0.153702138","19.549196","0.666796","0.217","0.291","wool","sheep",0.516285,"sheep","wool",0.291,"0.217","1.67E-2","1.23E-2",17,23,"6.18","N","16","10","6.02","N","sheep","wool",0.291,0.217,0.0167,"6.18","6.02",23,10,19.549196,0.666796,4388,64,15,7,3476,86,47,42
"shield","protection","shield.protection",6,8.2,2.62,9.55,0,NA,5697,1139.4,"NN|VB",701.52,-0.18,1,"functional property","",0.243,0.021,15,0.24,555.833333333333,0.119296396354824,1,577.538461538462,0.318579079968517,1,114.516666666667,1.01358458755522,0.1,43.5384615384615,-0.137817416526443,0,10,23.47,3.08,10.4,1,0,23119,2568.78,"NN",690,-0.36,1,17,"protection","shield",0.290594709983622,0.173207577393102,0,"0.013592153","2.447273","0.222599","0.021","0.243","protection","shield",0.640158,"shield","protection",0.243,"2.1000000000000001E-2","2.5600000000000001E-2","5.4999999999999997E-3",15,8,"5.13","N","23","68","3.49","N","shield","protection",0.243,0.021,0.0256,"5.13","3.49",8,68,2.447273,0.222599,3082,15,20,7,3482,72,35,34
"shift","move","shift.move",5,22.82,3.07,9.65,3,0,3044,761,"NN|VB",680.92,-0.27,1,"synonym","",0.324,0.011,10,0.2,660.9,0.157799721982237,1,556.0625,0.0196387900028969,1,71.2904761904762,0.411931267587442,0,-37.4910714285714,0.0518183054436294,0,4,418.14,4.33,11.29,9,2,3406,1135.33,"VB|NN",611.91,-0.58,1,58,"shift","move",0.451802217678525,0.457132595086373,0,"NULL","4.953683","0.175326","0.324","0.011","move","shift",0.686238,"shift","move",0.324,"1.0999999999999999E-2","2.5999999999999999E-3","3.3E-3",10,41,"NULL","V","27","171","3.81","V","shift","move",0.324,0.011,0.0026,"NULL","3.81",41,171,4.953683,0.175326,2565,132,31,31,3483,66,12,6
"shingle","roof","shingle.roof",7,0.75,1.59,4.86,0,NA,17047,2841.17,"NN|VB",672.15,-0.18,1,"instrument","",0.611,0.118,8,0.44,549.842105263158,0.152176990372834,0.947368421052632,647.551724137931,0.423878423653881,1,-16.0087719298245,-0.151823571462659,-0.0526315789473685,37.3649425287356,0.209282826935198,0,4,35.65,3.26,8.64,7,2,3269,1089.67,"NN",641.15,-0.64,1,15,"shingle","roof",0.145239594864904,0.0893794806657336,0,"NULL","3.191849","0.470838","0.611","0.118","roof","shingle",0.833526,"shingle","roof",0.611,"0.11799999999999999","2.5000000000000001E-3","3.0099999999999998E-2",8,5,"5.88","N","9","59","5.82","N","shingle","roof",0.611,0.118,0.0025,"5.88","5.82",5,59,3.191849,0.470838,3297,36,32,31,3485,14,11,5
"shock","electric","shock.electric",5,28.78,3.17,9.31,6,1,4080,1020,"NN|VB",604.89,-0.51,1,"bpa","",0.127,0.178,19,0.59,572.948717948718,-0.0172514321414617,1,541.073170731707,0.168497977567491,1,-22.4725274725274,0.142279375314936,0,68.4652908067542,0.121514329541186,0.0769230769230769,8,17.14,2.94,9.89,0,NA,14445,2063.57,"JJ",746.03,-0.07,0.97,16,NA,NA,0,0,0,NA,NA,NA,NA,NA,"electric","shock",0.591029,"shock","electric",0.127,"0.17799999999999999","0","6.9999999999999999E-4",19,31,"3.97","N","23","68","NULL","AJ","shock","electric",0.127,0.178,0,"3.97","NULL",31,68,14.629722,0.546642,1325,3,12,5,3489,12,21,5
"shortcake","strawberry","shortcake.strawberry",9,0.51,1.43,4.45,0,NA,9517,1189.63,"NN",706.93,-0.01,1,"bpa","",0.621,0.106,9,NA,521.914285714286,-0.124007311182023,1,502.461538461538,-0.188912742637565,1,65.8952380952381,0.279030505712812,0,-4.21153846153845,0.0647192211006053,0,10,5.53,2.45,7.39,0,NA,16853,1872.56,"NN",783.09,-0.17,1,16,"shortcake","strawberry",0.202330645151753,0.178846091645395,0,"NULL","18.044027","NULL","0.621","0.106","strawberry","shortcake",0.411559,"shortcake","strawberry",0.621,"0.106","0","2.7000000000000001E-3",9,0,"6.31","N","21","2","7","N","shortcake","strawberry",0.621,0.106,0,"6.31","7",0,2,18.044027,NA,3794,39,46,36,3498,32,12,8
"shoulder","arm","shoulder.arm",8,26.2,3.13,9.34,1,0,14291,2041.57,"NN|VB",660.46,-0.27,1,"category","",0.335,0,21,0.7,469.035714285714,-0.355353177477895,0.964285714285714,551.5,-0.017632175022766,1,21.8466386554622,-0.00206221928572414,-0.0357142857142857,47.85,-0.165842367317615,0,3,65.41,3.52,9.92,5,2,3548,1774,"NN|VB",671.86,-0.48,1,43,"arm","shoulder",0.495313552196188,0.495313552196188,0,"0.502344895","NULL","NULL","NULL","NULL","arm","shoulder",0.399602,"shoulder","arm",0.335,"0","1.12E-2","0",21,61,"5.67","N","6","94","5.53","N","shoulder","arm",0.335,0,0.0112,"5.67","5.53",61,94,10.284997,0.615492,169,349,43,43,3503,78,32,32
"shove","push","shove.push",5,13.22,2.83,7.72,4,1,4931,1232.75,"VB|NN",649.36,-0.28,1,"synonym","",0.936,0.418,2,0.33,527.934782608696,-0.153728500045197,1,471.707317073171,-0.284243854401196,1,-3.86335403726707,-0.0991855654123242,0,57.8926829268293,0.243065772785632,0,4,70.55,3.56,9.87,10,1,3159,1053,"VB|NN",522.32,-0.83,1,26,"shove","push",0.139245550544684,0.13580364691395,0,"0.135421026","2.966822","0.310284","0.936","0.418","shove","push",0.447392,"shove","push",0.936,"0.41799999999999998","0","0",2,2,"3.62","V","10","37","4.12","V","shove","push",0.936,0.418,0,"3.62","4.12",2,37,2.966822,0.310284,3110,124,63,57,3505,15,8,5
"show","tell","show.tell",4,488.35,4.4,12.09,10,0,3175,1058.33,"VB|NN",657.42,-0.35,1,"fpa","",0.128,0.011,24,0.38,474.4,-0.845537056267916,1,493.794871794872,-0.25524893118835,1,29.075,0.614440837662214,0,16.0622710622711,0.260928829109829,0,4,1724.49,4.94,12.21,12,1,7746,2582,"VB|NN",534.25,-0.81,0.94,42,NA,NA,0,0,0,NA,NA,NA,NA,NA,"tell","show",0.476628,"show","tell",0.128,"1.0999999999999999E-2","0","0",24,287,"3.93","V","19","268","3.02","V","show","tell",0.128,0.011,0,"3.93","3.02",287,268,3.152675,0.303245,3947,29,32,24,3507,41,31,9
"shower","clean","shower.clean",6,41.12,3.32,8.84,2,2,9821,1964.2,"NN|VB",609.58,-0.52,1,"bpa","",0.185,0,17,0.32,467,-0.415241684983234,1,570.448275862069,-0.0378403476973586,1,38.2727272727273,0.444001388152207,0,-65.7640653357532,0.0828004000409525,0,5,121.24,3.79,10.5,3,1,9293,2323.25,"JJ|VB|RB",582.83,-0.78,1,109,NA,NA,0,0,0,NA,NA,NA,NA,NA,"clean","shower",0.604267,"shower","clean",0.185,"0","4.1099999999999998E-2","0",17,15,"5.88","N","13","70","3.82","AJ","shower","clean",0.185,0,0.0411,"5.88","3.82",15,70,3.456142,0.278289,773,44,10,5,3508,73,27,10
"shrine","temple","shrine.temple",6,2.96,2.18,7.77,1,1,13589,2717.8,"NN",665.73,-0.23,1,"category","",0.208,0.121,18,0.52,552.75,-0.31927209602914,1,467.555555555556,-0.513778770457393,1,-36.6785714285714,0.0949263082937366,0,19.5396825396825,0.143870567160634,0,6,17.55,2.95,9.5,0,NA,10477,2095.4,"NN",651.26,-0.5,0.97,13,"shrine","temple",0.703156044199587,0.718512919647254,0,"NULL","5.891745","0.485169","0.208","0.121","temple","shrine",0.408995,"shrine","temple",0.208,"0.121","3.7000000000000002E-3","2.6700000000000002E-2",18,7,"NULL","N","12","38","6.69","N","shrine","temple",0.208,0.121,0.0037,"NULL","6.69",7,38,5.891745,0.485169,3951,10,9,5,3510,3,6,6
"shrub","bush","shrub.bush",5,0.27,1.18,5.63,2,2,2586,646.5,"NN",697.85,-0.27,0.96,"synonym","",0.503,0.063,8,0.36,556.260869565217,-0.104311937744647,0.91304347826087,581.222222222222,0.236603732905335,0.962962962962963,12.8754940711462,0.300785155611177,-0.0869565217391305,36.8777777777779,0.223567565209559,0.012962962962963,4,14.12,2.86,9.3,10,3,3281,1093.67,"NN",599.47,-0.62,1,18,"bush","shrub",0.557549393768913,0.610176278558696,0.122398012262539,"NULL","0","0.302119","0.063","0.503","bush","shrub",0.708141,"shrub","bush",0.503,"6.3E-2","1.5699999999999999E-2","0.1022",8,1,"NULL","N","15","14","5.69","N","shrub","bush",0.503,0.063,0.0157,"NULL","5.69",1,14,0,0.302119,556,43,13,5,3512,82,15,8
"sick","ill","sick.ill",4,165.43,3.93,10,13,1,4932,1644,"JJ|NN|VB",633.89,-0.38,0.96,"synonym","",0.355,0.824,13,0.63,500.052631578947,-0.355843978732647,0.947368421052632,514.352941176471,-0.194649917466964,1,56.1601343784994,0.357070673642563,-0.0313549832026876,33.1720588235294,0.206681306368598,0,3,21.27,3.04,9.31,2,1,3064,1532,"JJ|RB|NN",650.55,-0.55,0.97,17,"ill","sick",0.403806252274838,0.387868638315071,0.931446104677799,"0.355508293","19.596316","0.581494","0.824","0.355","ill","sick",0.421516,"sick","ill",0.355,"0.82399999999999995","4.1999999999999997E-3","9.7999999999999997E-3",13,51,"3.89","AJ","6","39","3.49","AJ","sick","ill",0.355,0.824,0.0042,"3.89","3.49",51,39,19.596316,0.581494,2030,14,10,5,3516,9,15,7
"sickle","cell","sickle.cell",6,0.55,1.46,5.97,5,2,8485,1697,"JJ",672.93,-0.24,1,"fpa","",0.265,0,16,0.36,538.5,-0.0588337102702123,1,590.28125,-0.112461238348585,1,-13.8636363636364,-0.275010481182237,0.0454545454545454,-23.6274038461538,-0.00254433911212971,0,4,54.35,3.44,9.69,11,7,4983,1661,"NN",625.87,-0.68,1,24,NA,NA,0,0,0,NA,NA,NA,NA,NA,"cell","sickle",0.723338,"sickle","cell",0.265,"0","0","0",16,0,"4.3899999999999997","N","16","65","6.63","N","sickle","cell",0.265,0,0,"4.39","6.63",0,65,18.127764,0.342097,667,102,28,14,3517,30,24,12
"side","front","side.front",4,200.92,4.01,11.63,10,1,5145,1715,"NN|VB|JJ",620.07,-0.45,0.96,"bpa","",0.201,0,19,0.48,517.185185185185,-0.195347925471069,1,561.142857142857,-0.257882336289459,1,49.3800322061192,0.477057080569735,0,-13.6428571428571,0.176989752395172,0,5,181.55,3.97,11.26,2,0,10145,2536.25,"NN|JJ|VB",575.5,-0.67,1,16,"front","side",0.356130350315669,0.347052219073787,0,"NULL","NULL","NULL","NULL","NULL","front","side",0.585713,"side","front",0.201,"0","3.3799999999999997E-2","4.65E-2",19,380,"3.85","N","5","221","4.1399999999999997","N","side","front",0.201,0,0.0338,"3.85","4.14",380,221,1.284419,0.349878,1651,17,7,5,3518,10,7,6
"silk","satin","silk.satin",4,9.78,2.7,8.26,8,3,3236,1078.67,"NN",614.96,-0.5,1,"category","",0.213,0.348,18,0.41,628.166666666667,0.505046805775812,0.944444444444444,588.210526315789,0.557260162328517,0.947368421052632,-8.76666666666665,-0.180956730284606,0.244444444444444,55.4851258581235,-0.293406715435134,0.229977116704805,5,2.61,2.13,7.33,2,2,16589,4147.25,"NN",695.5,-0.27,0.9,5,"satin","silk",0.708564562198705,0.747425628493729,0.229509637749113,"0.750663646","11.032657","0.339235","0.348","0.213","silk","satin",0.522134,"silk","satin",0.213,"0.34799999999999998","2.0000000000000001E-4","1.5699999999999999E-2",18,12,"5.26","N","9","5","5.9","N","silk","satin",0.213,0.348,2e-04,"5.26","5.9",12,5,11.032657,0.339235,3365,27,9,5,3524,54,10,7
"simple","easy","simple.easy",6,89.31,3.66,11.35,5,1,7655,1531,"JJ|NN",623.46,-0.43,1,"synonym","",0.392,0.096,7,0.35,625.9,-0.299380321941735,1,495.65,-0.219046932321536,1,-66.1857142857143,0.383535183276526,0,93.6403225806451,0.596157473893874,0,4,265.71,4.13,11.45,2,0,3494,1164.67,"JJ",580.68,-0.62,0.97,51,NA,NA,0,0,0,NA,NA,NA,NA,NA,"easy","simple",0.506249,"simple","easy",0.392,"9.6000000000000002E-2","2.1899999999999999E-2","0.12640000000000001",7,161,"2.98","AJ","8","125","2.81","V",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1304,7,9,5,3527,6,7,5
"since","then","since.then",5,314.98,4.21,12.68,4,0,11623,2905.75,"minor",646.63,-0.31,1,"fpa","",0.247,NA,15,0.45,530.92,0.0264090763329826,1,536.851851851852,-0.0848312766632611,0.962962962962963,15.0085714285715,-0.00758498509513772,0,3.05291005291008,-0.0126636287753738,-0.0370370370370371,4,1489.53,4.88,13.47,7,3,6888,2296,"RB|JJ",567.53,-0.65,0.91,4,"since","then",0.742333563866215,0.770411189423333,0,"NULL","NULL","NULL","0.247","null","then","since",0.555766,"since","then",0.247,"NULL","NULL","NULL",15,628,"2.4","AD","NULL","NULL","NULL","NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3968,4,6,5,3528,10,7,5
"singer","dancer","singer.dancer",6,15.69,2.9,9.15,7,1,19885,3977,"NN",659.65,-0.29,1,"category","",0.152,0.072,20,0.54,583.535714285714,0.153619222569296,1,510.854166666667,-0.10866356653771,1,-33.3357142857143,-0.166591329262586,0.0285714285714286,54.8826754385964,0.198761005496569,0,6,16.29,2.92,8,5,3,13209,2641.8,"NN",586.52,-0.53,1,9,"dancer","singer",0.238770398209469,0.241637604445121,0.0520936624216107,"NULL","5.327452","0.466159","0.072","0.152","dancer","singer",0.51517,"singer","dancer",0.152,"7.1999999999999995E-2","4.0000000000000002E-4","5.8999999999999999E-3",20,10,"6.35","N","23","31","5.54","N","singer","dancer",0.152,0.072,4e-04,"6.35","5.54",10,31,5.327452,0.466159,1063,39,26,7,3530,20,15,8
"single","marry","single.marry",6,72.08,3.57,11.46,5,0,16364,3272.8,"JJ|NN|RB|VB",642.46,-0.36,1,"antonym","",0.197,0.033,11,0.2,543.142857142857,-0.0179243195357492,1,516.85,0.0914810340076849,1,51.2802197802198,0.329014201183403,0,27.7269230769231,0.0717666400089269,0,5,104.35,3.73,8.97,8,4,5857,1464.25,"VB",629.18,-0.47,0.97,9,NA,NA,0,0,0,NA,NA,NA,NA,NA,"marry","single",0.818694,"single","marry",0.197,"3.3000000000000002E-2","0","8.9999999999999998E-4",11,172,"NULL","AJ","21","18","3.41","V","single","marry",0.197,0.033,0,"NULL","3.41",172,18,18.277192,0.173778,2414,2,10,5,3531,2,6,5
"sinker","fishing","sinker.fishing",6,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"instrument","",0.171,0,20,0.36,610.785714285714,0.525959238360437,1,552.777777777778,0.246869589865875,1,-68.2428571428572,-0.536083077149371,0.0285714285714286,126.111111111111,0.461504349091583,0,7,23.61,3.08,9.18,1,0,16754,2792.33,"NN|VB",610.58,-0.51,0.97,18,NA,NA,0,0,0,NA,NA,NA,NA,NA,"fishing","sinker",0.683247,"sinker","fishing",0.171,"0","5.1999999999999998E-3","1.9300000000000001E-2",20,0,"NULL","N","15","32","5.05","N","sinker","fishing",0.171,0,0.0052,"NULL","5.05",0,32,20.239228,0.287283,1534,29,14,7,3533,3,9,5
"sister","brother","sister.brother",6,180.53,3.96,9.75,3,0,18579,3715.8,"NN",596.68,-0.64,1,"antonym","",0.538,0.746,16,0.77,534.689655172414,-0.138710916694435,1,467.823529411765,-0.258859271607618,1,51.2032019704433,0.408157717820369,0,161.229102167183,0.654763041253803,0,7,283.94,4.16,10.07,1,0,12857,2142.83,"NN",614.06,-0.61,1,22,"brother","sister",0.668063274790725,0.659754640857756,0.111034981537462,"0.764729071","4.171394","0.757282","0.746","0.538","brother","sister",0.214136,"sister","brother",0.538,"0.746","2.1000000000000001E-2","5.0000000000000001E-3",16,38,"5.71","N","10","73","5.91","N","sister","brother",0.538,0.746,0.021,"5.71","5.91",38,73,4.171394,0.757282,511,31,14,7,3536,13,20,8
"six","seven","six.seven",3,199.53,4.01,10.68,11,1,1745,872.5,"minor|NN",623.04,-0.45,1,"category","fpa",0.434,0.047,8,0.8,576.090909090909,-0.149035085102449,1,554.4,-0.0553199608140421,1,-61.2545454545455,-0.101067766643948,0,-20.3074074074074,0.01130059545091,0,5,104.45,3.73,10.03,2,0,8228,2057,"minor|NN",663.76,-0.42,1,9,"seven","six",0.676509195600978,0.760948715161095,0.0252584682914944,"0.808047438","7.697874","0.713551","0.047","0.434","seven","six",0.203781,"six","seven",0.434,"4.7E-2","0","3.8800000000000001E-2",8,220,"NULL","N","12","113","NULL","N","six","seven",0.434,0.047,0,"NULL","NULL",220,113,7.697874,0.713551,3455,9,11,6,3539,7,11,6
"sketch","draw","sketch.draw",6,4.94,2.4,7.63,0,NA,4234,846.8,"NN|VB",683.76,-0.17,1,"synonym","",0.764,0.108,8,0.78,496.828571428571,-0.407943932082495,1,516.722222222222,-0.130531842689869,1,47.5047619047619,0.270148160746967,0,-22.0149051490515,-0.231700800829699,0,4,40.41,3.31,10.19,5,0,3732,1244,"VB|NN",580.74,-0.64,0.94,21,"sketch","draw",0.147844068713252,0.149875011700536,0,"NULL","2.224625","0.712441","0.764","0.108","draw","sketch",0.618417,"sketch","draw",0.764,"0.108","2.5000000000000001E-3","9.2999999999999992E-3",8,16,"5.31","N","15","56","4.32","V","sketch","draw",0.764,0.108,0.0025,"5.31","4.32",16,56,2.224625,0.712441,1256,228,30,30,3541,2,10,5
"skillet","pan","skillet.pan",7,1.22,1.8,6.48,1,1,8471,1411.83,"NN",683.96,-0.17,1,"category","",0.48,0.027,7,0.55,574.75,-0.0390342964700458,1,561.153846153846,-0.132465717906965,1,-47.75,-0.0833654111253576,0.111111111111111,-43.4871794871796,0.122413540433379,0.0333333333333333,3,12.29,2.8,9.22,19,11,4581,2290.5,"NN|VB",627.97,-0.53,0.97,15,"pan","skillet",0.837274111198256,0.837274111198256,0.947598389790273,"0.837274111","1.679642","0.497685","0.027","0.48","pan","skillet",0.541782,"skillet","pan",0.48,"2.7E-2","1.6E-2","4.0599999999999997E-2",7,2,"5.72","N","13","16","5.74","N","skillet","pan",0.48,0.027,0.016,"5.72","5.74",2,16,1.679642,0.497685,2795,86,16,16,3546,84,12,12
"skinny","fat","skinny.fat",6,13.98,2.85,8.12,0,NA,8069,1613.8,"JJ",729.13,0.05,1,"antonym","",0.419,0.228,10,0.28,512.615384615385,-0.384658001215468,1,514.6,-0.175646248325558,1,23.2669683257918,0.265073368222164,0,20.025,0.194921506560404,0,3,79.43,3.61,10.29,15,6,4609,2304.5,"JJ|NN",581.06,-0.76,1,85,NA,NA,0,0,0,NA,NA,NA,NA,NA,"fat","skinny",0.44216,"skinny","fat",0.419,"0.22800000000000001","0.14860000000000001","5.3800000000000001E-2",10,9,"3.67","AJ","16","60","4.8","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1482,51,10,5,3548,39,13,6
"skip","jump","skip.jump",4,21.1,3.03,9.08,8,3,1178,392.67,"VB|NN",716.39,-0.25,1,"synonym","",0.367,0,10,0.33,482,-0.461339858173023,1,498.957446808511,-0.261023810283527,1,11.64,0.0459682880280887,0.04,-52.2907801418439,-0.208399520164853,0,4,69.82,3.55,10.2,6,0,1688,562.67,"NN|VB",626.32,-0.76,0.97,34,"jump","skip",0.165638395455575,0.112197604745315,0.251006723623339,"NULL","NULL","NULL","NULL","NULL","jump","skip",0.572273,"skip","jump",0.367,"0","9.2600000000000002E-2","5.4399999999999997E-2",10,5,"3.85","V","12","24","4.4400000000000004","V","skip","jump",0.367,0,0.0926,"3.85","4.44",5,24,0,0.327596,2159,107,20,13,3549,43,14,8
"slab","concrete","slab.concrete",4,1.84,1.98,6.89,12,3,3455,1151.67,"NN",643.88,-0.32,0.96,"bpa","",0.196,0.034,17,0.18,615.714285714286,0.418929303657766,0.952380952380952,531.863636363636,0.0192982338318954,1,-94.047619047619,-0.557872751531937,-0.0476190476190477,36.5047846889952,0.102936367432067,0,8,7.43,2.58,8.98,0,NA,19564,2794.86,"JJ|NN|VB",725.36,-0.33,0.97,15,NA,NA,0,0,0,NA,NA,NA,NA,NA,"concrete","slab",0.616913,"slab","concrete",0.196,"3.4000000000000002E-2","3.5000000000000001E-3","5.3E-3",17,9,"5.0599999999999996","N","15","48","5.5","AJ","slab","concrete",0.196,0.034,0.0035,"5.06","5.5",9,48,16.339869,0.131363,883,22,14,6,3555,20,7,7
"slacks","pants","slacks.pants",6,1.1,1.76,6.2,5,4,5095,1019,"NN|VB",641.78,-0.31,0.96,"synonym","",0.644,0.011,8,0.47,571.277777777778,-0.0425173294284434,1,555.871794871795,0.234337946714061,1,-17.7920634920636,0.229572713090197,0.0285714285714286,-39.3234077750208,-0.292233450036019,0,5,58.75,3.48,9.22,4,2,8605,2151.25,"NN",581.59,-0.7,1,31,"slacks","pants",0.0843637731547952,0,0,"NULL","3.990216","0.464371","0.644","0.011","pants","slacks",0.498018,"slacks","pants",0.644,"1.0999999999999999E-2","8.2600000000000007E-2","1.9699999999999999E-2",8,7,"6.78","N","22","9","6.15","N","slacks","pants",0.644,0.011,0.0826,"6.78","6.15",7,9,3.990216,0.464371,2800,137,46,37,3556,16,8,5
"slander","lie","slander.lie",7,1.25,1.81,7.65,1,0,16457,2742.83,"NN|VB",675.56,-0.28,1,"category","",0.108,0,24,0.19,523.642857142857,-0.22490942322395,1,535.78125,-0.105278572900244,1,9.31868131868134,0.328886289791197,0,-18.6331018518518,-0.0442472050749428,0,3,120.25,3.79,9.99,9,1,4001,2000.5,"VB|NN",566.83,-0.79,1,71,"lie","slander",0.21317039485866,0.249081668652526,0,"NULL","NULL","NULL","NULL","NULL","lie","slander",0.714258,"slander","lie",0.108,"0","4.7999999999999996E-3","2.5000000000000001E-3",24,1,"3.35","N","18","59","4.04","V","slander","lie",0.108,0,0.0048,"3.35","4.04",1,59,12.162047,0.150688,2292,18,25,10,3557,7,8,5
"slay","kill","slay.kill",4,2.14,2.04,6.32,13,8,2872,957.33,"VB",689.92,-0.2,1,"synonym","",0.689,0,6,0.19,506.674418604651,-0.484431202502875,0.976744186046512,489.333333333333,-0.105955609808599,1,14.0178890876566,0.278181545401686,-0.0232558139534884,18.6666666666667,-0.0426732171273213,0,4,452.57,4.36,11.17,13,2,3475,1158.33,"VB|NN",601.44,-0.64,1,73,NA,NA,0,0,0,NA,NA,NA,NA,NA,"kill","slay",0.536612,"slay","kill",0.689,"0","2.12E-2","1.1599999999999999E-2",6,3,"4.07","V","19","63","3.77","V","slay","kill",0.689,0,0.0212,"4.07","3.77",3,63,1.439719,0.144807,2183,140,27,27,3561,10,6,5
"sleep","dream","sleep.dream",5,227.94,4.07,10.15,6,0,5390,1347.5,"VB|NN",638.33,-0.35,1,"unclassified","",0.194,0.247,10,0.53,533,-0.316671228512615,1,523.333333333333,0.169034190287546,1,54,0.411534907819866,0,-58.1666666666667,-0.679373575366084,0,5,133.29,3.83,10.39,2,0,7698,1924.5,"NN|VB",605.32,-0.63,1,29,NA,NA,0,0,0,NA,NA,NA,NA,NA,"dream","sleep",0.527882,"sleep","dream",0.194,"0.247","0","2.5000000000000001E-3",10,65,"4.74","N","10","64","3.03","N","sleep","dream",0.194,0.247,0,"4.74","3.03",65,64,12.291808,0.500668,1258,9,11,5,3564,19,14,8
"sleigh","snow","sleigh.snow",6,3.27,2.23,6.61,0,NA,5449,1089.8,"NN",689,-0.02,1,"instrument","",0.307,0,9,0.51,515.642857142857,-0.267392598487506,1,480.2,-0.278941286828732,1,13.1263736263736,0.0595379582536436,0,12.36,0.0294939846338765,0,4,31.35,3.2,9.91,6,3,1652,550.67,"NN|VB",604.68,-0.7,1,45,NA,NA,0,0,0,NA,NA,NA,NA,NA,"snow","sleigh",0.601881,"sleigh","snow",0.307,"0","1.49E-2","8.9999999999999998E-4",9,0,"6","N","14","59","6.05","N","sleigh","snow",0.307,0,0.0149,"6","6.05",0,59,17.803732,0.454859,3615,36,17,9,3566,53,9,9
"slick","slippery","slick.slippery",5,6.86,2.55,8.45,7,2,6412,1603,"JJ",689.69,-0.25,0.96,"synonym","",0.164,0,13,0.32,521.962962962963,0.0429433693842299,1,508.590909090909,-0.260993319954905,1,94.8249158249158,0.376979095158725,0,45.0281385281385,0.394994497234421,0.0238095238095238,8,4.41,2.35,7.8,1,0,12669,1809.86,"JJ",655.83,-0.49,0.97,10,"slick","slippery",0.296061278763498,0.343267351291041,0,"NULL","NULL","NULL","0.164","0","slippery","slick",0.710685,"slick","slippery",0.164,"0","9.2999999999999992E-3","6.2300000000000001E-2",13,7,"NULL","AJ","7","5","3.83","AJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3578,39,15,9,3569,7,7,5
