"Prime","TargetWord","index","PLength","PSubFreq","PLogSubFreq","PLogHAL","POrthoN","PFreqGreater","PBGSum","PBGMean","PPOS","PELP.LDT.RT","PELP.LDT.Z","PELP.LDT.Acc","Relation1","Relation2","FAS","BAS","CueFanOut","LSA","LDT.200ms.RT","LDT.200ms.Z","LDT.200ms.Acc","LDT.1200ms.RT","LDT.1200ms.Z","LDT.1200ms.Acc","LDT.200ms.RT.Priming","LDT.200ms.Z.Priming","LDT.200ms.Acc.Priming","LDT.1200ms.RT.Priming","LDT.1200ms.Z.Priming","LDT.1200ms.Acc.Priming","TLength","TSubFreq","TLogSubFreq","TLogHAL","TOrthoN","TFreqGreater","TBGSum","TBGMean","TPOS","TELP_LDT_RT","TELP_LDT_Z","TELP_LDT_Acc","TargetFanIn","first","second","root","raw","affix","old","jcn.x","lsa.x","fsg.x","bsg.x","word_1","word_2","distance","CUE","TARGET","FSG","BSG","MSG","OSG","QSS","QFR","QCON","QPS","TSS","TFR","TCON","TPS","cue","target","fsg.y","bsg.y","msg","qcon","tcon","qfr","tfr","jcn.y","lsa.y","X.x","TCosine_Set","Traw_feat_set","Troot_feat_set","X.y","PCosine_Set","Praw_feat_set","Proot_feat_set"
"dissolve","salt","dissolve.salt",8,1.86,1.98,7.5,0,NA,10295,1470.71,"VB",676.88,-0.44,1,"unclassified","",0.048,0,19,0.71,558.939393939394,-0.379974684415822,0.96969696969697,632.625,-0.290583289905601,0.96875,149.435606060606,0.494602187510702,-0.0321969696969697,106.21875,0.389800683140213,-0.0625,4,19.51,3,9.63,5,1,4171,1390.33,"NN|VB",567.97,-0.79,1,36,NA,NA,0,0,0,NA,NA,NA,NA,NA,"salt","dissolve",0.758053,"dissolve","salt",0.048,"0","1.2E-2","9.7999999999999997E-3",19,6,"NULL","V","7","46","5.69","N","dissolve","salt",0.048,0,0.012,"NULL","5.69",6,46,15.905331,0.630188,3349,107,20,9,1213,39,16,7
"distinct","specific","distinct.specific",8,3.04,2.19,8.88,0,NA,22410,3201.43,"JJ|NN",622.73,-0.53,0.97,"synonym","",0.021,0.015,23,0.28,811.875,0.903220912530167,0.875,765.878787878788,0.417898401216103,0.878787878787879,-34.875,-0.370686126689867,0.125,-34.6912878787879,-0.31312263478244,0.121212121212121,8,17.8,2.96,11.16,0,NA,8375,1196.43,"JJ|NN",729.09,-0.3,0.97,6,NA,NA,0,0,0,NA,NA,NA,NA,NA,"specific","distinct",0.674508,"distinct","specific",0.021,"1.4999999999999999E-2","0","5.7000000000000002E-3",23,42,"2.4300000000000002","AJ","20","115","2.5299999999999998","AJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3669,1,12,5,1215,3,6,5
"disturb","dont","disturb.dont",7,11.1,2.75,7.24,0,NA,10556,1759.33,"VB",627.76,-0.55,1,"bpa","",0.032,NA,17,0.21,748.4375,0.377295461713089,0.90625,711.151515151515,0.101809122316569,1,15.15625,0.15965309759636,0.09375,-5.05776515151513,-0.0290542637620549,0,4,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,19,NA,NA,0,0,0,NA,NA,NA,NA,NA,"dont","disturb",0.806066,"disturb","dont",0.032,"NULL","NULL","NULL",17,10,"NULL","V","NULL","NULL","NULL","NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1233,26,8,5,1216,28,5,5
"division","separate","division.separate",8,18.55,2.98,10.47,0,NA,15088,2155.43,"NN",685.41,-0.39,0.97,"synonym","bpa",0.088,0,17,0.41,794.258064516129,0.310463194740141,0.935483870967742,678.53125,0.228313523929462,1,64.804435483871,0.430391983141764,-0.0292338709677419,203.28125,0.476273553736136,0,8,21.71,3.04,10.5,0,NA,18454,2636.29,"JJ",700,-0.25,1,24,NA,NA,0,0,0,NA,NA,NA,NA,NA,"separate","division",0.818424,"division","separate",0.088,"0","8.9999999999999993E-3","2.3599999999999999E-2",17,107,"3.3","N","10","79","3.38","V","division","separate",0.088,0,0.009,"3.3","3.38",107,79,16.813222,0.368529,3450,13,8,5,1221,18,17,5
"doe","jane","doe.jane",3,4.33,2.35,8.45,15,7,734,367,"NN",706.57,-0.24,0.85,"bpa","",0.027,NA,8,0.15,645.242424242424,-0.0462360141484374,0.96969696969697,750.59375,0.516661308612257,0.875,122.370478983382,0.588367827528441,-0.0342130987292278,94.0191532258065,0.0756768706331783,-0.19758064516129,4,42.98,3.34,9.22,12,2,5880,1960,"NN",593.42,-0.67,0.97,5,"doe","jane",0.248700715722681,0.20213967748368,0,"0.144912785","NULL","NULL","0.027","null","jane","doe",0.548967,"doe","jane",0.027,"NULL","NULL","NULL",8,1,"5.75","N","NULL","NULL","NULL","NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2126,33,25,11,1224,51,9,5
"dollars","change","dollars.change",7,78.39,3.6,10.54,1,0,9956,1659.33,"NN",565.97,-0.74,0.94,"unclassified","",0.027,0,8,0.07,656.8125,-0.109592010983814,1,640.354838709677,-0.266756537519294,0.967741935483871,22.1875,0.217920359223921,0,75.0322580645161,0.0429909740129427,0,6,240.35,4.09,11.96,2,0,11275,2255,"NN|VB",629.94,-0.63,0.97,52,NA,NA,0,0,0,NA,NA,NA,NA,NA,"change","dollars",0.771667,"dollars","change",0.027,"0","1.9E-2","7.1400000000000005E-2",8,97,"5.68","N","15","240","3.06","V",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,692,4,10,5,1228,9,6,5
"dominant","male","dominant.male",8,1.61,1.92,8.69,0,NA,18000,2571.43,"JJ",755.88,-0.11,0.97,"fpa","",0.054,0,20,0.31,664.060606060606,0.0521531428855391,1,702.483870967742,-0.169274371778576,0.967741935483871,-63.060606060606,-0.493388110659706,0,-0.57762096774195,-0.0464614417430582,0.032258064516129,4,33.94,3.24,10.98,23,3,8160,2720,"JJ|NN",616,-0.71,0.94,20,NA,NA,0,0,0,NA,NA,NA,NA,NA,"male","dominant",0.548161,"dominant","male",0.054,"0","3.0000000000000001E-3","8.6999999999999994E-3",20,65,"NULL","N","5","37","5.48","N","dominant","male",0.054,0,0.003,"NULL","5.48",65,37,16.074586,0.269055,2388,14,13,5,1231,20,11,5
"donation","gift","donation.gift",8,3.51,2.26,8.08,0,NA,22693,3241.86,"NN",740.73,-0.17,0.91,"supraordinate","",0.105,0,11,0.07,598.8125,-0.312657682199861,1,655.59375,-0.235126441356549,0.96875,17.8125,0.136090861450241,-0.03125,-9.29375000000005,-0.115289276344612,0.03125,4,64.51,3.52,9.37,5,0,1241,413.67,"NN",640.82,-0.61,1,33,"gift","donation",0.325454626155569,0.107475367682509,0,"0.273011854","NULL","NULL","NULL","NULL","gift","donation",0.661554,"donation","gift",0.105,"0","4.0000000000000001E-3","2.5000000000000001E-3",11,2,"NULL","N","16","33","5.28","N","donation","gift",0.105,0,0.004,"NULL","5.28",2,33,1.441466,0.073105,1714,31,21,7,1235,200,26,26
"done","gone","done.gone",4,485.04,4.39,12.07,17,0,7469,2489.67,"VB|NN",624.96,-0.59,0.9,"unclassified","",0.02,0,9,0.47,715,-0.061883186348377,0.967741935483871,640.818181818182,-0.182772247259389,0.939393939393939,-92.3939393939394,-0.274049285768117,0.00195503421309873,-19.6568914956013,-0.0670808756867913,0.0606060606060606,4,296.76,4.18,10.86,11,2,7242,2414,"VB",604.32,-0.61,0.97,43,NA,NA,0,0,0,NA,NA,NA,NA,NA,"gone","done",0.42785,"done","gone",0.02,"0","0","0",9,320,"2.65","AJ","20","195","3.02","AJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1744,21,10,5,1236,16,9,5
"doorway","hallway","doorway.hallway",7,3.22,2.22,7.41,0,NA,5427,904.5,"NN",669.06,-0.51,0.97,"unclassifed","",0.097,0.014,19,0.71,623.677419354839,-0.264411380847281,0.967741935483871,677.1875,-0.27227835138256,0.9375,246.032258064516,0.875184310432845,0,2.3579545454545,0.386864521516868,0.00189393939393945,7,9.55,2.69,7.7,1,1,6939,1156.5,"NN",741.78,-0.06,0.97,7,NA,NA,0,0,0,NA,NA,NA,NA,NA,"hallway","doorway",0.544972,"doorway","hallway",0.097,"1.4E-2","2E-3","2.7E-2",19,15,"6.03","N","20","7","5.54","N","doorway","hallway",0.097,0.014,0.002,"6.03","5.54",15,7,6.696937,0.648956,1839,5,9,5,1241,28,9,5
"doubt","believe","doubt.believe",5,62.84,3.51,10.79,0,NA,2687,671.75,"NN|VB",597.53,-0.7,1,"antonym","",0.027,0.013,18,0.52,587.28125,-0.279375977983119,0.9375,666.033333333333,-0.243791143784246,0.966666666666667,-52.875,-0.15255474007641,0,124.515053763441,0.101818500957751,0.0333333333333333,7,625.14,4.5,12.25,1,0,8974,1495.67,"VB",613.91,-0.65,1,16,NA,NA,0,0,0,NA,NA,NA,NA,NA,"believe","doubt",0.534684,"doubt","believe",0.027,"1.2999999999999999E-2","2E-3","3.8E-3",18,114,"NULL","V","23","200","1.85","V","doubt","believe",0.027,0.013,0.002,"NULL","1.85",114,200,7.004763,0.440718,348,6,9,5,1243,8,15,5
"dough","doughnut","dough.doughnut",5,15.88,2.91,8.13,4,2,3055,763.75,"NN",645.91,-0.47,0.94,"unclassified","",0.228,0,13,0.31,785.5625,0.434244827092236,0.9375,828.15625,0.428653963665472,0.90625,40.15625,0.0528553202029798,-0.15625,1.26310483870964,0.719196553471556,-0.0352822580645161,8,4.22,2.33,6.18,0,NA,4320,617.14,"NN",817.06,0.06,0.97,9,NA,NA,0,0,0,NA,NA,NA,NA,NA,"doughnut","dough",0.715768,"dough","doughnut",0.228,"0","2E-3","2.0000000000000001E-4",13,13,"6.22","N","15","0","5.93","N","dough","doughnut",0.228,0,0.002,"6.22","5.93",13,0,18.451546,0.233433,1245,6,10,6,1244,7,13,7
"dove","peace","dove.peace",4,5.57,2.45,7.91,13,7,3030,1010,"NN",631.66,-0.49,1,"perceptual property","",0.157,0.042,11,0.14,568.8125,-0.416223043205594,0.96875,632.34375,-0.400892383635102,1,39.34375,0.130831447361579,0.03125,-14.71875,0.0648941386540387,0,5,69.61,3.55,10.61,3,1,6574,1643.5,"NN",661.76,-0.59,1,30,NA,NA,0,0,0,NA,NA,NA,NA,NA,"peace","dove",0.737174,"dove","peace",0.157,"4.2000000000000003E-2","0","0",11,4,"6.9","N","19","198","2.98","N","dove","peace",0.157,0.042,0,"6.9","2.98",4,198,16.950876,0.093197,2844,12,15,7,1246,55,12,12
"down","descend","down.descend",4,1490.27,4.88,12.59,4,0,1439,479.67,"RB|minor|JJ|NN",621.22,-0.51,0.97,"synonym","",0.014,0.178,10,0.28,726.545454545455,0.650384437240828,0.909090909090909,821.612903225806,0.436500683730834,1,66.2609970674487,0.359353425739092,-0.00586510263929618,9.78103616813291,0.390636420011223,-0.0303030303030303,7,1.92,2,6.96,1,1,15177,2529.5,"VB",703.67,-0.36,1,5,"down","descend",0.112903123494814,0.0572154902180022,0,"0.13317808","14.038634","0.236917","0.014","0.178","descend","down",0.826806,"down","descend",0.014,"0.17799999999999999","0","5.7999999999999996E-3",10,895,"3.23","AD","13","4","NULL","V","down","descend",0.014,0.178,0,"3.23","NULL",895,4,14.038634,0.236917,1128,170,22,22,1247,64,13,8
"downtown","busy","downtown.busy",8,21.92,3.05,8.84,0,NA,6674,953.43,"NN|RB|JJ",708.58,-0.48,1,"perceptual property","",0.068,0,24,0.46,664.15625,-0.475068745801493,1,589.625,-0.301800881416532,0.9375,20.0625,0.296226685467557,-0.0625,45.40625,0.086715842439763,0.0625,4,106.53,3.74,9.88,4,0,2213,737.67,"JJ",601.53,-0.64,0.97,12,NA,NA,0,0,0,NA,NA,NA,NA,NA,"busy","downtown",0.673622,"downtown","busy",0.068,"0","0","8.9999999999999998E-4",24,41,"NULL","N","24","58","3.21","AJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,558,53,12,5,1249,53,18,11
"dracula","frankenstein","dracula.frankenstein",7,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"category","",0.027,0.039,15,0.01,864.333333333333,0.774110204308196,0.939393939393939,794.451612903226,0.823044916649809,0.967741935483871,48.7916666666666,0.339519129050237,-0.0643939393939394,137.235887096774,0.374482229249631,-0.092741935483871,12,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,2,NA,NA,0,0,0,NA,NA,NA,NA,NA,"frankenstein","dracula",0.467362,"dracula","frankenstein",0.027,"3.9E-2","3.0000000000000001E-3","1.4500000000000001E-2",15,0,"NULL","N","13","0","NULL","N","dracula","frankenstein",0.027,0.039,0.003,"NULL","NULL",0,0,13.376674,0.024046,1624,21,16,6,1251,3,8,5
"dragon","queen","dragon.queen",6,19.29,2.99,10.29,0,NA,9257,1851.4,"NN",591.82,-0.67,0.97,"unclassified","",0.021,0,23,0.31,624.625,-0.157067989705848,1,653.548387096774,-0.0723415365333867,1,53.5,-0.00644485863509042,-0.03125,23.6849462365592,-0.175622912812237,0,5,54.69,3.45,9.77,1,0,5631,1407.75,"NN",565.06,-0.79,0.97,24,NA,NA,0,0,0,NA,NA,NA,NA,NA,"queen","dragon",0.722873,"dragon","queen",0.021,"0","0","0",23,1,"5.49","N","7","41","6.38","N","dragon","queen",0.021,0,0,"5.49","6.38",1,41,13.023716,0.261163,3121,6,14,7,1253,62,23,10
"drawing","painting","drawing.painting",7,16.02,2.91,9.58,0,NA,15014,2502.33,"VB|NN",639.13,-0.49,1,"category","",0.084,0.068,15,0.22,725.9375,0.0820677380164128,0.96875,699.4,-0.0519830996876793,0.933333333333333,-84.875,-0.120604239814194,0,53.5375,0.41099551350761,0.00416666666666665,8,29.2,3.17,8.62,2,2,27521,3931.57,"NN|VB",625.58,-0.6,0.97,16,NA,NA,0,0,0,NA,NA,NA,NA,NA,"painting","drawing",0.546783,"drawing","painting",0.084,"6.8000000000000005E-2","3.7999999999999999E-2","8.8400000000000006E-2",15,40,"5.57","N","18","59","6.18","N","drawing","painting",0.084,0.068,0.038,"5.57","6.18",40,59,3.379851,0.157041,2789,7,17,5,1257,7,12,5
"drive","in","drive.in",5,153.14,3.89,12.05,1,0,6044,1511,"NN|VB",575.44,-0.72,0.97,"fpa","",0.034,0,14,0.32,620.84375,-0.19625675365349,0.9375,613.424242424242,-0.235583036902724,0.909090909090909,53.9949596774194,-0.0268694578420132,-0.00201612903225812,84.8484848484849,0.322600591193713,0.0303030303030304,2,9773.41,5.7,15.9,7,0,6910,6910,"minor|RB|JJ",617.97,-0.63,0.97,32,NA,NA,0,0,0,NA,NA,NA,NA,NA,"in","drive",0.711822,"drive","in",0.034,"0","2E-3","0",14,105,"4.3499999999999996","V","2","9999","NULL","PP","drive","in",0.034,0,0.002,"4.35","NULL",105,9999,9.344572,0.286517,2046,5,7,5,1265,222,38,38
"driveway","pavement","driveway.pavement",8,6.73,2.54,7.04,0,NA,7440,1062.86,"NN",762.87,-0.27,1,"perceptual property","",0.062,0.014,14,0.49,692.774193548387,0.051486201889235,1,757.625,0.636501452554367,1,127.838709677419,0.37358194931769,-0.0645161290322581,-1.625,-0.0198264989973233,-0.03125,8,2.02,2.02,7.58,0,NA,12968,1852.57,"NN",692.65,-0.33,1,6,NA,NA,0,0,0,NA,NA,NA,NA,NA,"pavement","driveway",0.604718,"driveway","pavement",0.062,"1.4E-2","3.0000000000000001E-3","1.44E-2",14,14,"NULL","N","13","11","5.08","N","driveway","pavement",0.062,0.014,0.003,"NULL","5.08",14,11,9.168508,0.438023,2838,23,17,7,1267,55,15,9
"drown","suffocate","drown.suffocate",5,10.59,2.73,7.25,5,4,3390,847.5,"VB",643.73,-0.57,1,"unclassified","",0.02,0.022,14,0.28,766.878787878788,0.636221375699704,0.939393939393939,756.03125,0.490644276799315,0.9375,29.3712121212121,0.211288599628811,-0.0331439393939394,122.302083333333,0.391002134238732,-0.0284090909090909,9,1.51,1.89,5.46,0,NA,13006,1625.75,"VB",784.57,-0.13,0.94,2,"drown","suffocate",0.245697561187929,0.209621494547626,0.385873626057988,"NULL","10.603779","0.222015","0.02","0.022","suffocate","drown",0.60004,"drown","suffocate",0.02,"2.1999999999999999E-2","0","6.0499999999999998E-2",14,3,"NULL","V","14","6","3.77","N","drown","suffocate",0.02,0.022,0,"NULL","3.77",3,6,10.603779,0.222015,3836,13,15,7,1271,24,14,7
"drowsy","tired","drowsy.tired",6,0.73,1.58,5.33,2,0,3564,712.8,"JJ",659.45,-0.44,0.97,"synonym","",0.245,0.014,6,0.3,630.65625,-0.286510506020974,0.96875,644.5625,-0.210103419960954,0.96875,49.9801136363636,0.193961418343725,0.000946969696969724,-54.59375,-0.0462416665795796,-0.0625,5,112.65,3.76,9.86,8,0,14613,3653.25,"VB|JJ",578.73,-0.77,0.97,56,NA,NA,0,0,0,NA,NA,NA,NA,NA,"tired","drowsy",0.582489,"drowsy","tired",0.245,"1.4E-2","5.0999999999999997E-2","0.26450000000000001",6,1,"NULL","AD","14","48","3.04","AJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4015,17,20,8,1272,9,15,5
"drug","cocaine","drug.cocaine",4,45.22,3.36,10.53,3,0,1377,459,"NN|VB",572.22,-0.7,0.97,"supraordinate","",0.068,0.25,20,0.92,682.818181818182,0.0892741219352903,0.96969696969697,688.6875,0.375668183715202,0.96875,74.2443181818181,0.265356692737081,0.0303030303030303,22.90625,-0.077760064810222,0,7,8.25,2.63,8.5,0,NA,15014,2502.33,"NN",652.24,-0.39,0.97,11,"cocaine","drug",0.31434663205703,0.278606026055239,0.588575255999335,"0.236057317","2.474831","0.895378","0.25","0.068","cocaine","drug",0.315541,"drug","cocaine",0.068,"0.25","6.0000000000000001E-3","7.3000000000000001E-3",20,24,"5.54","N","17","1","NULL","N","drug","cocaine",0.068,0.25,0.006,"5.54","NULL",24,1,2.474831,0.895378,813,49,24,12,1273,4,15,5
"drugs","illegal","drugs.illegal",5,48.31,3.39,10.32,2,0,1650,412.5,"NN|VB",598.94,-0.58,1,"bpa","",0.028,0.273,28,0.65,666.28125,-0.0983374184249962,1,679.515151515152,-0.0670876189142357,0.96969696969697,36.25,0.173288375018356,-0.03125,22.7348484848485,0.2058689649132,-0.0321969696969697,7,23.51,3.08,10.37,0,NA,10592,1765.33,"JJ|NN",590.64,-0.67,1,14,NA,NA,0,0,0,NA,NA,NA,NA,NA,"drugs","illegal",0.551579,"drugs","illegal",0.028,"0.27300000000000002","0","3.7000000000000002E-3",28,28,"NULL","N","9","9","NULL","AJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2031,10,11,5,1274,9,16,7
"duck","quack","duck.quack",4,24.76,3.1,8.83,11,3,1745,581.67,"NN|VB",546.18,-0.8,1,"perceptual property","",0.115,0.818,16,0.05,783.28125,0.511507062630605,0.90625,655.875,-0.086066300547762,0.84375,35.1381048387096,0.261490899004113,-0.0352822580645161,196.90625,0.74837829335013,0.125,5,4.63,2.37,6.44,2,2,3385,846.25,"NN|minor|VB",692.32,-0.28,0.91,2,NA,NA,0,0,0,NA,NA,NA,NA,NA,"duck","quack",0.432632,"duck","quack",0.115,"0.81799999999999995","0","0",16,9,"5.68","N","5","9","4.55","V","duck","quack",0.115,0.818,0,"5.68","4.55",9,9,17.542013,0.051748,3116,5,10,5,1278,259,46,37
"due","now","due.now",3,44.61,3.36,11.52,12,0,762,381,"JJ|NN|minor",563.53,-0.7,1,"fpa","",0.047,0,25,0.21,706.967741935484,-0.0633889020330534,0.967741935483871,671.21875,0.0825458835096764,1,-125.645161290323,-0.13278655495566,-0.0322580645161291,92.84375,0.0498882344150736,-0.0625,3,3202.61,5.21,13.3,15,3,1485,742.5,"RB|JJ|NN",550.89,-0.88,1,44,NA,NA,0,0,0,NA,NA,NA,NA,NA,"now","due",0.738795,"due","now",0.047,"0","1E-3","2.9999999999999997E-4",25,142,"NULL","AJ","9","1314","3.02","AD","due","now",0.047,0,0.001,"NULL","3.02",142,1314,18.01315,0.194226,2670,4,11,6,1280,8,15,6
"dull","knife","dull.knife",4,12.08,2.79,8.44,15,8,3011,1003.67,"JJ|VB",669.97,-0.5,1,"fpa","",0.042,0,11,0.31,607.0625,-0.419093203918638,0.96875,652.5625,-0.135121420256726,0.96875,134.21875,0.863662925773664,0.03125,-30.4657258064516,-0.0235026513099932,-0.001008064516129,5,46.8,3.38,8.87,0,NA,2697,674.25,"NN|VB",589.76,-0.7,0.97,43,NA,NA,0,0,0,NA,NA,NA,NA,NA,"knife","dull",0.863501,"dull","knife",0.042,"0","2.1000000000000001E-2","1.52E-2",11,27,"3.08","AJ","13","76","6.08","N","dull","knife",0.042,0,0.021,"3.08","6.08",27,76,14.157889,0.259996,2199,208,58,43,1281,8,11,5
"dumb","deaf","dumb.deaf",4,46.96,3.38,9.43,2,0,1419,473,"JJ|NN",610.38,-0.58,1,"bpa","",0.064,0.107,4,0.23,651.90625,0.0341729337505906,0.90625,771.866666666667,0.460677073636445,0.866666666666667,14,0.0498648987114393,0.03125,125.939784946237,0.467092285042147,0.0365591397849462,4,14.53,2.87,8.72,5,5,4648,1549.33,"JJ|NN",580.94,-0.63,0.97,8,NA,NA,0,0,0,NA,NA,NA,NA,NA,"deaf","dumb",0.529773,"dumb","deaf",0.064,"0.107","0","0",4,13,"3.36","AJ","16","12","4.29","AJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1081,50,22,9,1282,13,27,11
"duplicate","same","duplicate.same",9,2.29,2.07,8.56,0,NA,16960,2120,"JJ|NN",677.56,-0.38,0.94,"synonym","",0.013,0,7,0.19,570.41935483871,-0.38807245557615,0.935483870967742,768.290322580645,0.115683322819277,0.903225806451613,118.42439516129,0.405269811271734,0.0645161290322581,-55.5630498533724,-0.0298419234168075,0.0361681329423266,4,417.18,4.33,12.9,15,1,3422,1140.67,"JJ",581.19,-0.67,1,48,NA,NA,0,0,0,NA,NA,NA,NA,NA,"same","duplicate",0.762244,"duplicate","same",0.013,"0","3.0000000000000001E-3","0",7,6,"NULL","V","8","686","2.44","AJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3352,4,13,5,1286,6,14,7
"dusk","sunset","dusk.sunset",4,1.2,1.79,6.68,9,5,2053,684.33,"NN",622.19,-0.6,0.97,"synonym","",0.048,0,9,0.54,697.41935483871,-0.0547488246410505,1,608.969696969697,-0.300372089711583,1,-55.3870967741935,0.0639581288321593,-0.032258064516129,138.69696969697,0.730981509269003,0,6,10.31,2.72,8.15,0,NA,7957,1591.4,"NN",612.03,-0.64,0.97,9,NA,NA,0,0,0,NA,NA,NA,NA,NA,"sunset","dusk",0.517372,"dusk","sunset",0.048,"0","1.9E-2","8.0000000000000004E-4",9,9,"4.97","N","14","14","6.07","N","dusk","sunset",0.048,0,0.019,"4.97","6.07",9,14,5.016932,0.478599,3851,28,11,5,1287,18,8,5
"dust","pan","dust.pan",4,23.84,3.09,9.83,10,2,5392,1797.33,"NN|VB",589.06,-0.71,1,"fpa","",0.054,0,16,0.18,612.787878787879,-0.253506597979068,0.939393939393939,778.387096774194,0.101970735795334,0.903225806451613,68.2433712121212,0.294266879267019,-0.0643939393939394,-56.3870967741935,-0.0401806473015659,-0.0244379276637341,3,12.29,2.8,9.22,19,11,4581,2290.5,"NN|VB",627.97,-0.53,0.97,15,NA,NA,0,0,0,NA,NA,NA,NA,NA,"pan","dust",0.832739,"dust","pan",0.054,"0","0","0",16,70,"6.67","N","13","16","5.74","N","dust","pan",0.054,0,0,"6.67","5.74",70,16,19.691241,0.102135,2795,86,16,16,1288,17,15,5
"dustpan","clean","dustpan.clean",7,0.25,1.15,2.3,0,NA,10005,1667.5,"NN",807.26,-0.04,0.79,"functional property","",0.142,0,6,0.07,643.060606060606,0.044704020558691,0.96969696969697,737.290322580645,-0.0388097051918347,0.935483870967742,17.283143939394,-0.162870760109128,0.0303030303030303,-20.1653225806451,-0.203180881269736,0.0645161290322581,5,121.24,3.79,10.5,3,1,9293,2323.25,"JJ|VB|RB",582.83,-0.78,1,109,NA,NA,0,0,0,NA,NA,NA,NA,NA,"clean","dustpan",0.549214,"dustpan","clean",0.142,"0","5.8000000000000003E-2","2.7000000000000001E-3",6,0,"NULL","N","13","70","3.82","AJ","dustpan","clean",0.142,0,0.058,"NULL","3.82",0,70,25.676578,0.0304,773,44,10,5,1289,187,30,28
"dynasty","empire","dynasty.empire",7,2.55,2.12,7.76,0,NA,7391,1231.83,"NN",747.5,-0.18,0.97,"synonym","",0.125,0.026,20,0.38,667.40625,-0.021859578093211,0.96875,693.09375,-0.179495759668358,0.96875,77.4324596774194,0.295295908565246,0.03125,-69.21875,0.10446039434734,-0.03125,6,12.67,2.81,9.69,2,0,8061,1612.2,"NN",659.64,-0.54,0.97,6,NA,NA,0,0,0,NA,NA,NA,NA,NA,"empire","dynasty",0.580276,"dynasty","empire",0.125,"2.5999999999999999E-2","1E-3","1.0200000000000001E-2",20,5,"4.0199999999999996","N","25","22","NULL","N","dynasty","empire",0.125,0.026,0.001,"4.02","NULL",5,22,13.332622,0.365745,1345,22,10,5,1292,6,14,5
"eager","willing","eager.willing",5,6.86,2.55,8.45,2,0,9972,2493,"JJ",642,-0.38,1,"unclassified","",0.081,0,19,0.35,776.41935483871,0.274751308805051,0.903225806451613,653,-0.0512672811904052,1,-39.8739002932551,0.110565080377894,0.00586510263929618,59.6774193548387,0.564304939871535,-0.0967741935483871,7,49.25,3.4,10.93,6,0,17079,2846.5,"JJ|VB",625.26,-0.57,1,7,NA,NA,0,0,0,NA,NA,NA,NA,NA,"willing","eager",0.558857,"eager","willing",0.081,"0","2E-3","2.0999999999999999E-3",19,27,"2.98","AJ","16","69","NULL","AJ","eager","willing",0.081,0,0.002,"2.98","NULL",27,69,20.349606,0.309487,4357,17,13,5,1293,4,8,5
"eagle","america","eagle.america",5,11.49,2.77,8.83,0,NA,6451,1612.75,"NN",630.79,-0.51,0.97,"perceptual property","",0.041,0,11,0.04,724.96875,0.0953412560916571,1,793.5,0.485260481019614,0.970588235294118,11.4828629032259,0.358990085558325,-0.0645161290322581,-21.5625,0.168669033428816,-0.00183823529411764,7,77.92,3.6,11.27,0,NA,15817,2636.17,"NN",658.74,-0.47,1,22,NA,NA,0,0,0,NA,NA,NA,NA,NA,"america","eagle",0.843362,"eagle","america",0.041,"0","0","5.8999999999999999E-3",11,5,"5.63","N","13","194","NULL","N","eagle","america",0.041,0,0,"5.63","NULL",5,194,17.702562,0.024026,109,18,8,5,1294,110,20,20
"early","bird","early.bird",5,108.04,3.74,11.24,0,NA,6607,1651.75,"JJ|RB|NN",579.12,-0.8,1,"fpa","",0.061,0,8,0.1,572.090909090909,-0.516952166666526,1,828.4375,0.265388971661973,1,104.393939393939,0.752860101888646,-0.0303030303030303,-54.1471774193549,-0.100060663299051,-0.032258064516129,4,45.45,3.37,9.86,3,0,2053,684.33,"NN",596,-0.69,0.97,79,NA,NA,0,0,0,NA,NA,NA,NA,NA,"bird","early",0.818483,"early","bird",0.061,"0","0","0",8,366,"2.54","AJ","23","31","5.77","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,377,107,23,23,1296,19,12,6
