TargetWord,Prime,Length,SubFreq,LogSubFreq,LogHAL,OrthoN,FreqGreater,BGSum,BGMean,POS,ELP LDT RT,ELP LDT Z,ELP LDT Acc,Relation1,Relation2,FAS,BAS,CueFanOut,LSA,LDT 200ms RT,LDT 200ms Z,LDT 200ms Acc,LDT 1200ms RT,LDT 1200ms Z,LDT 1200ms Acc,LDT 200ms RT Priming,LDT 200ms Z Priming,LDT 200ms Acc Priming,LDT 1200ms RT Priming,LDT 1200ms Z Priming,LDT 1200ms Acc Priming
morning,ALARM,5,29.84,3.18,8.63,0,,8631,2157.75,NN|VB,612.18,-0.55,1,unclassified,,0.042,0,12,0.49,752.6875,0.34688445913485,1,661.818181818182,-0.142226106562489,0.96969696969697,-72.9602272727273,-0.297490742951326,0,-16.8494318181819,-0.00701862606139717,0.0303030303030303
most,MAJORITY,8,5.12,2.42,10.45,0,,10349,1478.43,NN,632.53,-0.45,1,synonym,,0.155,0.036,13,0.34,681.25,-0.240837024106102,1,716.352941176471,-0.218445135279731,0.911764705882353,11.90625,0.253799341899163,-0.03125,71.0533088235294,0.361449101311171,-0.0367647058823529
motel,ROACH,5,2.65,2.13,6.69,3,2,5544,1386,NN|VB,648.53,-0.36,0.91,script,,0.049,0.017,17,0.06,640.333333333333,0.106335741562041,0.933333333333333,797.90625,0.531465623440269,0.90625,81.9569892473118,0.41770578214432,-0.126881720430108,-55,-0.290437275372066,-0.0625
mother,BROTHER,7,283.94,4.16,10.07,1,0,12857,2142.83,NN,614.06,-0.61,1,category,,0.024,0,10,0.41,620.34375,-0.361463809499414,0.96875,705.033333333333,-0.126241198922984,1,-1,0.176307945834704,0.03125,178.644086021505,0.350821458861245,-0.0645161290322581
motion,PHYSICS,7,9.45,2.68,10.28,0,,5126,854.33,NN,745.55,-0.24,1,unclassified,,0.021,0,11,0.36,628.03125,-0.0407000496280962,0.9375,757.625,0.315297298432645,1,72.1505681818181,0.191720251995793,0.0321969696969697,-87.9153225806451,-0.159284752379699,0
motorcycle,HARLEY,6,,,,,,,,,,,,supraordinate,,0.385,0.08,4,0.1,780.064516129032,0.31683952971553,1,767.78125,0.402748900301601,0.96875,90.5917338709677,0.136738717339656,0,-39.625,0.169967049509114,0.03125
mountain,ROCKS,5,22.88,3.07,8.96,5,0,3974,993.5,NN|VB,662.06,-0.37,1,script,,0.087,0,20,0.3,662.75,-0.209169069029023,0.96875,716.59375,0.0187869322166468,0.96875,-20.8125,0.243852083498522,0.03125,-101.529233870968,-0.132559634346796,0.03125
mountains,HEIGHTS,7,7.37,2.58,8.34,1,0,4694,782.33,NN,594.21,-0.64,1,perceptual property,,0.088,,17,0.17,764.96875,0.182065523332959,1,806.1875,0.103568985847993,0.9375,-83.710685483871,-0.286820621161109,0,-193.09375,-0.190091779003105,0.0625
mouse,CLICK,5,6.41,2.52,9.91,7,1,6561,1640.25,NN|VB,670.26,-0.63,1,functional property,,0.027,0,21,0.1,619.645161290323,-0.178800215402247,1,616.090909090909,-0.264082654716709,0.96969696969697,40.8387096774194,0.480674999442068,-0.129032258064516,187.690340909091,0.373509141515023,0.0303030303030303
mouth,SPIT,4,19.35,2.99,8.23,6,3,3827,1275.67,VB|NN,590.69,-0.59,0.97,functional property,,0.039,0.016,23,0.37,666.96875,-0.239729052246613,1,701.6,0.0302931002333775,0.966666666666667,-99.96875,-0.0024883560656572,-0.03125,18.05625,-0.0450582224595285,0.00208333333333333
