Input.word1,Answer.word1,Input.word2,Answer.word2,Input.word3,Answer.word3,Input.word4,Answer.word4,Input.word5,Answer.word5
Scrap,material leftover from a project,Wrap,to package something,Britannica,a encyclopedia,Elimination,when you beat someone or something,Alter,something in a church
Scrap,left over material,Wrap,cover,Britannica,encyclopedia,Elimination,remove,Alter,change
Scrap,"slang for a fight, waste piece, discard",Wrap,"article of clothing, decorative covering for a package, the end of something like a movie scene",Britannica,"encyclopedia, name for a series of books",Elimination,"to end something, to remove something, delete",Alter,"change, a type of podium, convert"
Scrap,"remove something, get rid of, bits, left overs",Wrap,"package, paper, covering, cape,",Britannica,"book, dictionary,encyclopaedia",Elimination,"vote off, get ride of, die, remove, go away,",Alter,"fix, change, redo, adjust, amend, correct,"
Running,a fast method of walking:  continuous: flowing,Pluto,the planet furthest from the sun:  a dog who is a character in Mickey Mouse Cartoons.,Chemist,a person who works with chemicals:  a British pharmacist:  someone who makes illegal drugs,Impatience,annoyance: rudeness: boredom: frustration,Gentleman,a group of men:  men who are classy and elite
Running,"moving so quickly that at one point both feet are off the ground; done for exercise, fun or competitiveness; healthy exercise for the heart; hard on the joints; requires special shoes",Pluto,"Used to be a planet but now considered a big asteroid or something; farthest from the sun in our solar system; very cold, dark, and tin; also the dog in Mickey Mouse with the lolling tongue",Chemist,"Someone who studies chemicals, looks at compounds and substances, in old times, similar to a druggist or pharmasist now",Impatience,"not wanting to wait, needing instant gratification, demanding, instant need",Gentleman,"a man of high class, a kind friendly person, one a woman can trust, well dressed and classy"
Running,"workout, sneakers, sweat",Pluto,"planet, disney dog",Chemist,"science, scientist, formulas, experiments, laboratory",Impatience,"desperate, fast",Gentleman,"male, kind, respectful"
Running,"moving quickly on foot, moving or issuing in a stream, the act of participating in an athletic competition involving running on a track",Pluto,"a cartoon character created by Walt Disney, is a yellow dog, is very friendly and funny one",Chemist,"a scientist who specializes in chemistry, A person versed in chemistry or given to chemical investigation or a maker or seller of chemicals or drugs.",Impatience,"a lack of patience, irritation with anything that causes delay",Gentleman,"One of gentle or refined manners, a well-bred man, a man of refinement"
Running,"speed, fast",Pluto,"used to be a planet, now a star, very cold, located in our solar system",Chemist,"intelligent, does chemistry, scientist",Impatience,"doesn't like to wait, enjoys fast pace, in a hurry",Gentleman,"cordial, manners, handsome, polite"
Running,"Quick way of moving yourself, tiring, challenging,",Pluto,"Former planet, cold, frozem, barren, rocky.",Chemist,"Scientist, wears goggles and a lab coat, more often male than female, studies chemical reactions",Impatience,"hurried, demanding, and  undesirable quality.",Gentleman,"kind, considerate, educated, male, well dressed,"
Running,"using your feet, working ou",Pluto,"A planet, a cartoon dog",Chemist,"a scientist, dealing with chemistry",Impatience,"Not patient, not wanting to wait",Gentleman,"A nice man, someone who has manners"
Running,"dashing, what a marathon winner does, sprint",Pluto,"was a planet, Mickey Mouse's animal friend, space mass",Chemist,"scientist, works in a laboratory, knows the periodic chart",Impatience,"not willing to wait, wants the other person/thing to hurry, in a rush",Gentleman,"male who behaves properly, rich male person, male who has manners"
